iter	Passed	Remaining
882	1305	172
883	1305	171
884	1306	169
885	1307	168
886	1308	166
887	1309	165
888	1311	163
889	1313	162
890	1315	160
891	1316	159
892	1317	157
893	1319	156
894	1320	154
895	1321	153
896	1322	151
897	1323	150
898	1324	148
899	1325	147
900	1326	145
901	1327	144
902	1329	142
903	1330	141
904	1331	139
905	1332	138
906	1333	136
907	1334	135
908	1335	133
909	1336	132
910	1337	130
911	1338	129
912	1339	127
913	1340	126
914	1342	124
915	1343	123
916	1345	121
917	1346	120
918	1347	118
919	1349	117
920	1350	115
921	1351	114
922	1353	112
923	1354	111
924	1355	109
925	1356	108
926	1358	106
927	1359	105
928	1361	104
929	1363	102
930	1364	101
931	1365	99
932	1366	98
933	1367	96
934	1368	95
935	1369	93
936	1370	92
937	1373	90
938	1374	89
939	1376	87
940	1377	86
941	1378	84
942	1379	83
943	1380	81
944	1381	80
945	1382	78
946	1383	77
947	1384	75
948	1386	74
949	1388	73
950	1389	71
951	1390	70
952	1391	68
953	1392	67
954	1393	65
955	1394	64
956	1395	62
957	1396	61
958	1397	59
959	1398	58
960	1399	56
961	1401	55
962	1403	53
963	1404	52
964	1405	50
965	1406	49
966	1407	48
967	1408	46
968	1409	45
969	1410	43
970	1411	42
971	1412	40
972	1413	39
973	1414	37
974	1416	36
975	1417	34
976	1419	33
977	1420	31
978	1421	30
979	1422	29
980	1423	27
981	1424	26
982	1425	24
983	1426	23
984	1427	21
985	1428	20
986	1429	18
987	1431	17
988	1433	15
989	1434	14
990	1435	13
991	1437	11
992	1438	10
993	1439	8
994	1440	7
995	1441	5
996	1442	4
997	1444	2
998	1445	1
999	1447	0
